P: 4
       y (u)    z (F)
x (z)                
0.400  0.000 4275.304
0.410  0.000 4379.024
0.420  0.000 4482.037
0.430  0.000 4584.247
0.440  0.000 4685.547
0.450  0.000 4785.820
0.460  0.000 4884.940
0.470  0.000 4982.771
0.480  0.000 5079.165
0.490  0.000 5173.963
0.500  0.000 5266.995
0.510  0.000 5358.081
0.520  0.000 5447.028
0.530  0.000 5533.632
0.540  0.000 5617.678
0.550  0.000 5698.940
0.560  0.000 5777.183
0.570  0.000 5852.163
0.580  0.000 5923.626
0.590  0.000 5991.313
0.600  0.000 6054.959
0.610  0.000 6114.295
0.620  0.000 6169.053
0.630  0.000 6218.964
0.640  0.000 6263.765
0.650  0.000 6303.201
0.660  0.000 6337.028
0.670  0.000 6365.018
0.680  0.000 6386.961
0.690  0.000 6402.676
0.700  0.000 6412.009
0.710  0.000 6414.842
0.720  0.000 6411.098
0.730  0.000 6400.745
0.740  0.000 6383.804
0.750  0.000 6360.352
0.760  0.000 6330.526
0.770  0.000 6294.528
0.780  0.000 6252.630
0.790  0.000 6205.168
0.800  0.000 6152.551
0.810  0.000 6095.251
0.820  0.000 6033.804
0.830  0.000 5968.799
0.840  0.000 5900.872
0.850  0.000 5830.687
0.860  0.000 5758.928
0.870  0.000 5686.276
0.880  0.000 5613.390
0.890  0.000 5540.887
0.900  0.000 5469.322
0.910  0.000 5399.166
0.920  0.000 5330.800
0.930  0.000 5264.498
0.940  0.000 5200.436
0.950  0.000 5138.693
0.960  0.000 5079.272
0.970  0.000 5022.114
0.980  0.000 4967.122
0.990  0.000 4914.168
1.000  0.000 4863.107




P: 7
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  104.947
0.020  0.000  209.896
0.030  0.000  314.848
0.040  0.000  419.808
0.050  0.000  524.777
0.060  0.000  629.758
0.070  0.000  734.752
0.080  0.000  839.762
0.090  0.000  944.790
0.100  0.000 1049.839
0.110  0.000 1154.911
0.120  0.000 1260.007
0.130  0.000 1365.131
0.140  0.000 1470.284
0.150  0.000 1575.469
0.160  0.000 1680.687
0.170  0.000 1785.940
0.180  0.000 1891.230
0.190  0.000 1996.558
0.200  0.000 2101.926
0.210  0.000 2207.335
0.220  0.000 2312.784
0.230  0.000 2418.274
0.240  0.000 2523.805
0.250  0.000 2629.374
0.260  0.000 2734.981
0.270  0.000 2840.621
0.280  0.000 2946.291
0.290  0.000 3051.985
0.300  0.000 3157.696
0.310  0.000 3263.416
0.320  0.000 3369.132
0.330  0.000 3474.833
0.340  0.000 3580.502
0.350  0.000 3686.120
0.360  0.000 3791.667
0.370  0.000 3897.115
0.380  0.000 4002.435
0.390  0.000 4107.593
